%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
118.0, 14624.858155829688, 54856.2994428038, -52491.708396876864, -48968.20175268671, -49962.384994314314, -32225.38169924995, -43142.01839471083, -57638.5551856226, -44112.08410407115, -42738.70351775927, -94502.16972853777, -25602.202189231182, -50574.42046098953, -45431.32876531229, -60927.524975243214, -90276.9077154288, -0.0475, 1.01275, 0.041999999999999996, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7274711321869738E9, 0.0, 2024-09-27 16:05:32.186
120.0, 14632.055417544296, 54897.02432120137, -52420.74160823126, -48961.004490972104, -49919.00025832657, -32212.574149677057, -43109.38484780608, -57619.422092368855, -44108.50782495831, -42739.4858288152, -94519.38057176836, -25599.45292466318, -50583.42821400502, -45436.603777003744, -61017.289580975725, -90272.52677351556, -0.04875, 1.008375, 0.045, 192.0, 127.0, 56.0, 15.5, 48.0, 0.5, 64.0, 0.0, 0.0, 0.0, 1.7274711321869855E9, 0.0, 2024-09-27 16:05:32.186
122.0, 14627.294495975317, 54864.90486441909, -52476.129230991515, -48970.28046492106, -49964.08372689292, -32206.650937396404, -43139.00090920936, -57630.195633196316, -44116.75561866231, -42737.831799725514, -94494.16780402277, -25598.62591011833, -50616.48644405442, -45441.20823636153, -60936.48802476979, -90267.07294786847, -0.04875, 1.008375, 0.045, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.727471132186998E9, 0.0, 2024-09-27 16:05:32.186
124.0, 14629.484966931936, 54882.22746637195, -52436.968974705815, -48978.640017347345, -49930.39964799877, -32235.864667399488, -43117.74440023237, -57627.08874071702, -44103.63514466705, -42738.256482870165, -94528.67889746177, -25598.15652348477, -50583.29410353829, -45426.43373327658, -61040.5577469537, -90282.65211375382, -0.04875, 1.008375, 0.045, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7274711321870148E9, 0.0, 2024-09-27 16:05:32.187
126.0, 14636.056379801796, 54883.99325418392, -52448.41306786693, -48972.1580114553, -49952.14789535379, -32217.156257290397, -43117.31971708772, -57610.481394586735, -44101.690542899436, -42746.41486959635, -94483.05898702849, -25600.190532230205, -50580.83541164821, -45459.693129026076, -60960.47144657034, -90283.36736957639, -0.04875, 1.008375, 0.045, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.727471132187029E9, 0.0, 2024-09-27 16:05:32.187
128.0, 14630.334333221237, 54889.69294902003, -52437.728934017294, -48974.6614068343, -49928.41034274225, -32234.456507498802, -43116.71621998742, -57612.69421728781, -44089.68765612694, -42729.91928218833, -94525.32613579347, -25587.71825882414, -50584.56815297224, -45431.10524786774, -61036.51208120729, -90275.8571834394, -0.04875, 1.008375, 0.045, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7274711321870484E9, 0.0, 2024-09-27 16:05:32.187
130.0, 14624.634638385134, 54872.21388485598, -52454.805666781154, -48974.370834156376, -49955.09832562188, -32226.61104519499, -43139.64910979856, -57627.35696165049, -44111.279441270766, -42751.868695243444, -94494.0560453005, -25602.425706675735, -50607.5457462723, -45462.822373249815, -60967.06521118465, -90287.18951787824, -0.050375, 1.0081875, 0.0435, 192.0, 127.0, 48.0, 15.5, 64.0, 0.5, 40.0, 0.0, 0.0, 0.0, 1.7274711321870608E9, 0.0, 2024-09-27 16:05:32.187
132.0, 14628.03210354234, 54877.153620380595, -52454.29157665868, -48970.30281666551, -49933.32772652242, -32227.795687651123, -43108.87075768361, -57620.49497610271, -44086.3572462031, -42730.88040719991, -94537.95487141072, -25590.936910025706, -50584.27758029432, -45440.023593905404, -61056.04750586123, -90286.18368937775, -0.050375, 1.0081875, 0.0435, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.727471132187073E9, 0.0, 2024-09-27 16:05:32.187
134.0, 14637.866871102677, 54875.18666686853, -52455.990309237284, -48977.88005803586, -49958.58519775691, -32231.57313246407, -43120.24779561136, -57615.75640627819, -44093.1074730286, -42746.012538196155, -94484.51185041809, -25602.15748574227, -50587.786804173804, -45459.536666814885, -61003.14092673552, -90290.11759640189, -0.050375, 1.0081875, 0.0435, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7274711321870852E9, 0.0, 2024-09-27 16:05:32.187
136.0, 14641.286688004338, 54881.28869310483, -52475.95041703587, -48980.383453414855, -49952.79609594299, -32250.192135595342, -43117.654993254546, -57617.611601067976, -44083.228001979354, -42733.02617466762, -94539.13951386684, -25594.244968205094, -50597.55451650078, -45437.85547469324, -61104.84136400716, -90298.6112592949, -0.050375, 1.0081875, 0.0435, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.727471132187097E9, 0.0, 2024-09-27 16:05:32.187
